Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/06  12:00:00,1335.65280167,111.968041846,418.99280702,0.0,243.2593065,310.10971186,488.55002417,373.817437378,70.808374512,43.9242122805
 01/06  13:00:00,1287.96763573,113.131996889,423.440063758,0.0,243.2593065,310.10971186,473.130620447,366.742505441,70.808374512,35.5797404938
 01/06  14:00:00,1314.72816157,114.082582196,427.007786954,0.0,243.2593065,302.612436532,450.747658539,349.39329546,56.6466996096,44.7076634695
 01/06  15:00:00,1318.18265491,114.685004991,430.559186747,0.0,243.2593065,302.612436532,422.359325457,335.249872222,42.4850247072,44.6244285269
 01/06  16:00:00,1319.42978376,114.744355605,431.757195538,0.0,243.2593065,302.612436532,430.711032796,338.445181944,56.6466996096,35.6191512415
 01/06  17:00:00,1324.3623089,113.953761449,431.388337797,0.0,243.2593065,310.10971186,507.474829221,387.079856398,84.9700494144,35.4249234085
 01/06  18:00:00,1333.610591,113.9667235,427.052782,0.0,243.2593065,310.10971186,518.075257368,415.574071045,84.9700494144,17.5311369085
 01/06  19:00:00,1054.84644602,102.203354281,417.195476439,0.0,166.938926447,199.110933808,530.862764318,428.422976944,84.9700494144,17.4697379604
 01/06  20:00:00,1045.52039826,102.203354281,408.0829234,0.0,166.938926447,191.61365848,513.779202854,439.664232282,56.6466996096,17.4682709624
 01/06  21:00:00,904.191775247,102.203354281,406.206404003,0.0,100.150657288,124.558693486,555.700383347,481.584790404,56.6466996096,17.4688933328
 01/06  22:00:00,860.539778058,102.203354281,410.867357435,0.0,100.150657288,124.558693486,546.266858561,486.3590957,42.4850247072,17.422738154
 01/06  23:00:00,797.895141903,102.203354281,416.789479757,0.0,46.0930336215,124.558693486,552.324316803,506.58229695,28.3233498048,17.4186700484
 01/06  24:00:00,801.309862169,102.203354281,418.155793705,0.0,46.0930336215,124.558693486,539.19274273,516.313409459,14.1616749024,8.71765836851
 01/07  01:00:00,787.732468437,102.203354281,418.019141856,0.0,46.0930336215,113.312780494,543.87082925,520.788110217,5.66466996096,17.4180490722
 01/07  02:00:00,789.753735238,102.203354281,420.056732856,0.0,46.0930336215,113.312780494,545.555603603,522.474412128,5.66466996096,17.4165215147
 01/07  03:00:00,790.991434179,102.203354281,421.361192821,0.0,46.0930336215,113.312780494,541.032281425,526.649552397,5.66466996096,8.71805906796
 01/07  04:00:00,790.005880438,102.203354281,420.47031224,0.0,46.0930336215,113.312780494,554.795427891,531.712024627,5.66466996096,17.4187333032
 01/07  05:00:00,800.043176322,102.203354281,416.849826663,0.0,55.6251445156,113.312780494,551.019671412,527.937750782,5.66466996096,17.4172506696
 01/07  06:00:00,795.35315391,102.203354281,411.712620349,0.0,55.6251445156,113.312780494,563.257896147,531.68046208,14.1616749024,17.4157591647
 01/07  07:00:00,866.720216086,102.203354281,414.095340104,0.0,65.1572554096,176.889270242,508.518911147,471.476410596,28.3233498048,8.71915074678
 01/07  08:00:00,981.862559001,102.564027573,418.737084768,0.0,109.682768182,220.96816451,756.895831964,696.990851164,42.4850247072,17.4199560926
 01/07  09:00:00,990.101090326,102.561983851,420.965958847,0.0,109.682768182,220.96816451,664.25216813,590.095825845,56.6466996096,17.5096426764
 01/07  10:00:00,1098.19546322,103.058500197,421.17548359,0.0,131.945524568,266.955817592,606.491181842,537.62399879,42.4850247072,26.382158344
 01/07  11:00:00,1107.56638144,103.391872328,422.543465234,0.0,131.945524568,274.45309292,588.84456173,486.125509429,70.808374512,31.9106777895
 01/07  12:00:00,1110.92734668,103.519681593,423.825470347,0.0,131.945524568,274.45309292,573.349184844,472.616103731,70.808374512,29.9247066018
 01/07  13:00:00,1080.80767799,103.446201907,425.492781331,0.0,131.945524568,274.45309292,573.679868919,476.37295269,70.808374512,26.4985417165
 01/07  14:00:00,1074.86778733,103.574729403,426.845538323,0.0,131.945524568,266.955817592,560.363227273,468.391936619,56.6466996096,35.3245910447
 01/07  15:00:00,1076.51956009,103.4998869,428.532921593,0.0,131.945524568,266.955817592,547.389953695,478.406532264,42.4850247072,26.4983967235
 01/07  16:00:00,998.955963363,102.203354281,429.120814343,0.0,109.682768182,212.545889182,478.975046302,395.83065645,56.6466996096,26.4976902418
 01/07  17:00:00,1005.07410841,102.203354281,428.654016775,0.0,109.682768182,220.04316451,535.188057361,414.890294584,84.9700494144,35.3277133626
 01/07  18:00:00,976.502575565,102.203354281,427.399291245,0.0,109.682768182,220.04316451,533.345182654,422.014658745,84.9700494144,26.3604744949
 01/07  19:00:00,937.158975331,102.203354281,426.942337906,0.0,100.150657288,199.110933808,550.907184507,457.21721451,84.9700494144,8.71992058243
 01/07  20:00:00,930.147556684,102.203354281,426.806065644,0.0,100.150657288,191.61365848,537.417576044,463.354474608,56.6466996096,17.4164018261
 01/07  21:00:00,815.99885756,102.203354281,424.341427455,0.0,55.6251445156,124.558693486,587.432635031,513.368043485,56.6466996096,17.4178919368
 01/07  22:00:00,810.576535048,102.203354281,418.571431385,0.0,55.6251445156,124.558693486,575.867753824,524.665414164,42.4850247072,8.7173149527
 01/07  23:00:00,806.154940276,102.203354281,412.610120428,0.0,46.0930336215,124.558693486,590.919447536,545.17898728,28.3233498048,17.4171104515
 01/07  24:00:00,803.091819893,102.203354281,408.052306207,0.0,46.0930336215,124.558693486,582.283593775,550.70330761,14.1616749024,17.4186112625
 01/08  01:00:00,779.767390799,102.203354281,406.503235185,0.0,34.9616554283,113.312780494,573.91055295,559.528194,5.66466996096,8.71768898922
 01/08  02:00:00,778.82819852,102.203354281,401.724593821,0.0,34.9616554283,113.312780494,588.930391258,565.847757709,5.66466996096,17.4179635884
