days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
314300,55,38400,7112,Iksan VIP,2014-07-03T00:00:00.0000000
315000,102,75420,7918,Iksan VIP,2012-04-17T00:00:00.0000000
315000,9000,35,4711,Iksan,2014-01-16T00:00:00.0000000
315000,9000,35,10457,Iksan,2013-02-15T00:00:00.0000000
319410,80,3,729,Iksan,2013-01-03T00:00:00.0000000
320000,1,320000,1242,Gwangyang,2011-07-01T00:00:00.0000000
320000,1,320000,1368,Gwangyang,2015-01-21T00:00:00.0000000
320000,1,320000,7214,Gwangyang,2010-02-10T00:00:00.0000000
320000,1,320000,9337,Gwangyang,2017-02-02T00:00:00.0000000
320000,2,160000,12447,Iksan,2014-03-12T00:00:00.0000000
325000,9000,75,2043,Iksan,2015-02-10T00:00:00.0000000
327180,80,3,11845,Iksan,2012-11-01T00:00:00.0000000
330000,1,330000,1983,Gwangyang,2017-01-17T00:00:00.0000000
336000,1,336000,8069,Gwangyang,2016-06-21T00:00:00.0000000
340000,1,340000,8511,Gwangyang,2014-01-16T00:00:00.0000000
340000,1,340000,13686,Gwangyang,2017-04-21T00:00:00.0000000
340000,40,17000,7792,Iksan,2018-11-06T00:00:00.0000000
340500,4,317500,13992,Iksan VIP,2015-04-29T00:00:00.0000000
340920,2,340920,7005,Gwangyang,2016-12-14T00:00:00.0000000
342210,80,3,13480,Iksan,2012-07-23T00:00:00.0000000
350000,1,350000,283,Iksan,2015-09-25T00:00:00.0000000
350000,1,350000,10077,Gwangyang,2015-11-19T00:00:00.0000000
350000,21,160000,13490,Iksan VIP,2014-02-14T00:00:00.0000000
350000,100,3500,12647,Iksan VIP,2020-03-30T00:00:00.0000000
350000,250,1400,6037,Gunsan Chemical,2018-02-21T00:00:00.0000000
350600,5,141200,2218,Iksan VIP,2014-04-24T00:00:00.0000000
358000,61,76500,13552,Iksan VIP,2015-07-27T00:00:00.0000000
359000,1,359000,843,Gwangyang,2010-01-22T00:00:00.0000000
360000,3,120000,6825,Iksan,2012-08-16T00:00:00.0000000
360000,10000,75,2003,Iksan,2014-05-16T00:00:00.0000000
362200,945,7620,7876,Gunsan Chemical,2019-01-29T00:00:00.0000000
375000,50,7500,6089,Iksan VIP,2015-07-08T00:00:00.0000000
375000,10000,75,8513,Iksan,2015-08-19T00:00:00.0000000
376360,3880,97,4392,Gwangyang,2020-03-11T00:00:00.0000000
380000,1,380000,7198,Gwangyang,2020-02-04T00:00:00.0000000
380000,2,190000,7187,Iksan VIP,2013-12-16T00:00:00.0000000
380000,2,380000,9224,Gwangyang,2017-06-16T00:00:00.0000000
380000,10,38000,13020,Iksan,2012-06-18T00:00:00.0000000
380200,10,190100,3277,Iksan VIP,2012-08-25T00:00:00.0000000
